AccounWeeks	ContractRenewal	DataPlan	DataUsage	CustServCalls	DayMins	DayCalls	MonthlyCharge	OverageFee	RoamMins	Churn
78	1	0	0	0	163.6	88	52	14.17	8.6	0
104	1	0	0	1	225.9	123	53	8.14	10.1	0
76	1	0	0	0	204.2	100	60	14.63	10.5	0
120	1	0	0.21	0	185.7	133	54.1	11.76	16.9	0
73	1	0	0	0	160.1	110	46	10.67	13	0
100	1	0	0	1	179.1	123	48	9.83	10.2	0
137	1	0	0.26	0	144	90	42.6	9.08	12.3	0
128	1	1	4.32	1	142.3	73	84.2	9.74	16	0
138	1	0	0	3	146.5	101	50	14.23	14	0
42	1	0	0	2	184.5	98	49	10.03	8.8	0
59	1	0	0.28	3	160.9	95	51.8	12.56	5	0
77	1	0	0	2	233.8	104	63	13.33	7.6	0
121	1	0	0	3	255.1	93	67	13.35	8.8	1
106	0	1	3.89	1	270.3	111	103.9	10.76	14.4	1
116	1	0	0	1	51.1	106	27	10.43	12.3	0
104	1	0	0	0	130.5	77	34	6.56	13	0
78	1	0	0.4	4	103.5	115	32	5.9	12	1
104	1	0	0	2	138.7	100	42	10.77	4.9	0
48	1	1	3.29	1	211.7	115	82.9	8	12.2	0
123	1	0	0.26	2	257.9	92	64.6	10.58	9.4	0
117	0	0	0	1	198.4	121	55	12.48	10.5	0
121	0	1	2.35	3	254.1	127	82.5	9.01	8.7	0
125	1	0	0	0	240.7	82	64	13.47	10.1	1
149	1	1	3.4	3	180.7	92	81	9.39	12.6	0
84	1	0	0	1	181.5	129	42	6.54	8.5	0
76	1	0	0	0	272.7	97	67	11.82	7.7	1
22	1	0	0	0	110.3	107	33	8.33	9.5	0
90	1	0	0	2	207.2	121	61	14.63	8	0
3	1	0	0	4	139	99	45	12.54	6.1	0
10	1	0	0.42	1	222.2	127	55.2	7.66	12.9	0
133	1	0	0	0	117.8	100	37	9.96	11.8	1
95	1	0	0	1	149.2	96	48	13.04	8.1	0
147	1	1	3.81	2	243.4	126	103.1	13.69	14.1	0
114	1	0	0.4	1	172	145	57	13.82	10.1	0
93	1	1	3.19	4	134.2	105	68.9	8.13	11.8	1
48	1	1	3.56	1	141.1	109	79.6	11.24	13.2	0
65	0	0	0.31	0	277.9	123	64.1	7.79	9.2	1
48	1	0	0.2	1	275.2	67	65	9.01	7.9	0
90	1	0	0	1	261.8	128	64	11.03	9.6	0
137	1	1	3.27	2	186.5	94	79.7	8.9	12.1	0
174	1	0	0	0	235.5	108	53	7.12	12.5	0
96	1	1	3	2	175.8	96	78	10.33	11.1	0
105	1	0	0.26	2	147.7	103	47.6	11.14	12.8	0
114	1	1	3.11	2	137.1	88	68.1	7.79	11.5	0
77	1	0	0	2	163	112	47	10.96	6.7	0
163	1	1	2.38	1	224	126	81.8	11.68	8.8	0
145	1	0	0	1	224.2	89	65	15.75	16.1	1
9	1	1	2.73	1	214.1	108	78.3	8.46	10.1	0
136	1	0	0.36	2	252.4	74	61.6	8.4	10.7	0
131	1	0	0	2	187.9	110	49	10.03	10.2	0
96	1	0	0	1	179.5	125	45	8.12	6.6	0
83	1	1	2.84	0	107.9	90	59.4	7.02	10.5	0
86	1	0	0	1	141.3	72	38	7.72	8.2	0
88	1	0	0	0	55.6	65	31	12.14	11.3	0
48	1	0	0	2	171.9	98	43	7.95	7.6	0
52	1	0	0	3	129.3	80	35	7.14	12.3	0
118	1	0	0	2	154.6	112	42	9.21	12.6	0
115	1	0	0	3	147.9	109	45	11.42	9.6	0
52	1	1	1.11	2	170.9	71	58.1	10.07	4.1	0
85	1	0	0	0	212.3	107	56	11.42	7.7	0
80	1	0	0	0	322.3	113	74	11.1	6.7	1
116	1	0	0	0	164.6	110	51	13.53	8	0
99	1	0	0.33	1	145.6	106	37.3	4.92	10.9	0
43	1	0	0.26	2	159.5	99	40.6	5.99	6.8	0
70	1	0	0.17	0	126.3	99	35.7	7.08	9.6	0
87	1	0	0.31	0	136.3	97	41.1	8.61	7.1	0
186	1	1	3.92	2	74.3	107	67.2	8.87	14.5	0
139	1	0	0	4	181.6	119	60	16.79	8.3	0
160	1	0	0	1	176.2	90	47	9.8	9.2	0
55	1	0	0	0	175.6	147	44	8.09	9.3	0
106	1	0	0	1	235.2	121	59	11.03	11.8	0
97	1	0	0	3	169.7	84	43	8.3	12.8	0
119	1	0	0	3	98.8	97	30	7.35	10	0
98	1	0	0	4	0	0	14	7.98	6.8	1
95	1	0	0	1	175.2	91	51	12.22	7.5	0
75	1	0	0	4	109	88	41	12.97	13.3	1
88	1	0	0	4	85.7	112	34	11.08	11.6	1
88	1	0	0	2	189.8	111	50	9.87	14.9	0
74	1	0	0	0	155.7	116	42	8.69	8.1	0
174	1	0	0.21	2	190.3	98	56.1	12.64	7.2	0
56	1	0	0.25	0	221.9	112	64.5	13.91	7.1	1
119	0	1	3.75	1	172.1	119	86.5	11.18	13.9	1
93	1	0	0	1	179.3	93	47	9.44	12.1	0
57	1	1	3.51	1	279.9	121	102.1	11.16	13	0
224	0	0	0.26	1	171.5	99	45.6	8	5	1
84	1	1	3.05	0	214.3	112	83.5	9.41	11.3	0
64	0	0	0	1	225.3	134	48	5.41	17.3	1
52	1	0	0.32	3	191.9	108	59.2	13.49	7.8	0
87	1	0	0	0	58	125	16	3.38	11.5	0
146	1	1	3.94	1	176.6	88	83.4	8.14	14.6	0
139	1	1	4	0	214.6	101	97	11.76	14.8	0
105	1	0	0	1	101.4	48	31	7.96	12.2	0
102	0	0	0	0	233.8	103	59	11.08	12.8	0
66	1	0	0	1	207.7	85	53	9.84	6.8	0
115	1	0	0	1	286.4	125	67	10.29	6.9	1
38	1	0	0	2	117.3	114	38	10.44	14.4	0
113	1	1	3.13	0	183.8	102	78.3	9.17	11.6	0
161	1	0	0.16	4	191.9	113	40.6	3.55	13.4	1
120	1	0	0	1	178.4	97	45	8.42	9.3	0
94	1	0	0.22	0	137.5	118	43.2	10.16	13.4	0
101	0	0	0	1	156.4	116	38	6.52	7.3	0
90	1	1	3.08	1	94.8	89	65.8	10.96	11.4	0
46	1	0	0.21	3	199.2	111	51.1	8.76	10.2	0
125	1	0	0	0	163.8	73	50	12.78	15.7	0
118	1	1	2.59	5	170.8	114	71.9	9.98	9.6	1
117	1	0	0.26	2	214.4	94	51.6	6.9	9.9	0
172	1	0	0	3	212	121	39	1.56	12.6	0
41	1	0	0	1	207.2	138	54	10.71	11.9	0
36	0	1	5.4	0	196.8	89	110	12.75	20	1
120	1	1	2.84	0	200.3	68	81.4	11.02	10.5	0
112	1	0	0	2	101.1	119	36	10.72	10.3	0
123	1	1	0.78	0	146.6	87	42.8	5.74	2.9	0
110	1	0	0	3	196.1	103	51	9.99	12.9	0
29	1	0	0	2	313.2	103	72	10.82	12.8	1
72	1	0	0	1	175.5	103	42	6.62	11.8	0
51	1	0	0	1	232.4	109	56	9.37	9.1	0
116	1	1	1.89	2	204.7	118	71.9	10.47	7	0
143	1	0	0	0	223.3	99	53	8.36	4.5	1
54	1	1	3.13	2	92.3	88	64.3	9.66	11.6	0
118	1	0	0	0	154.8	71	48	12.2	12.8	0
121	1	0	0	2	168.9	128	40	6.2	2.9	0
88	1	0	0	2	161.5	92	43	8.68	7.9	0
122	1	0	0.23	2	140.1	120	46.3	11.57	11.2	0
120	1	1	2.62	2	212.7	73	85.2	12.88	9.7	0
151	1	0	0	0	194.8	106	58	14.64	5.5	0
64	1	0	0.24	1	154	67	48.4	11.29	3.5	0
55	0	0	0	1	221	115	52	8.27	9.7	0
111	1	1	2.78	2	128.8	104	63.8	7.87	10.3	0
80	1	0	0	3	198.1	160	47	7.84	9.3	0
138	1	0	0	5	194.3	83	50	9.5	9	0
81	1	0	0	0	129.9	121	42	11.51	13.3	0
105	1	0	0.38	1	213.4	100	57.8	10.25	9.5	0
113	1	0	0	2	150.1	120	43	10.01	11	0
129	1	0	0.37	0	98	99	41.7	12.04	10.5	0
107	1	1	2.78	1	96.3	83	59.8	8.98	10.3	0
130	1	1	2	0	185	117	73	12.48	7.4	0
103	1	0	0	2	190.9	62	52	11.33	7.8	0
80	1	0	0	2	268.7	120	72	15.05	5.8	1
66	1	1	2.4	1	174.7	92	74	11.61	8.9	0
67	1	1	2.67	2	115.6	111	66.7	11.89	9.9	0
98	1	0	0.2	0	217.2	121	65	15.17	12.4	1
87	1	1	3.02	0	143.5	106	74.2	11.18	11.2	0
92	0	0	0	1	173.1	140	50	12.02	9	0
100	1	1	2.4	1	213.6	127	76	8.8	8.9	0
87	1	0	0.36	2	115.4	90	45.6	13.13	13.1	0
71	1	0	0	1	207	112	50	8.69	12.1	0
52	1	1	3.65	2	130.1	68	80.5	12.36	13.5	0
46	1	0	0	2	124.8	133	35	7.87	8.6	0
151	1	0	0.43	0	175.3	106	47.3	7.22	11.8	0
40	1	1	1.67	2	148.1	74	56.7	8.48	6.2	0
138	0	0	0	1	169.3	82	48	10.9	9.4	0
148	1	0	0.39	1	178.3	98	58.9	14.13	11.4	0
95	1	1	2.65	0	165.7	78	73.5	10.78	9.8	0
152	1	0	0	3	197.1	126	45	6.51	7.4	0
25	1	0	0.26	2	178.8	90	45.6	7.06	8.4	0
100	1	1	3.51	1	246.6	94	89.1	7.07	13	0
161	1	0	0	2	72.8	120	36	13.36	11.8	0
44	1	0	0.21	3	288.1	112	73.1	12.9	10.2	1
139	1	0	0	2	203.2	81	48	7.63	9.7	0
51	0	1	3.32	2	135.8	60	74.2	10.03	12.3	0
65	1	1	2.4	1	158.1	104	79	16.11	8.9	0
95	1	0	0	1	229.9	116	57	10.12	14.2	0
63	1	0	0	0	83	64	30	8.85	13	0
45	1	0	0	1	207.6	71	49	7.64	12.4	0
164	1	0	0.27	1	160.6	111	44.7	8.16	9	0
116	1	0	0	6	159.4	79	43	8.98	9.7	1
111	1	0	0	3	146.2	55	48	13.08	8.7	0
87	1	1	2.86	0	214	113	80.6	9	10.6	0
16	1	0	0	5	174.7	83	54	14.04	10.5	0
107	1	0	0	1	294.9	71	67	9.64	13.2	1
123	1	1	2.11	1	124.7	105	64.1	12.52	7.8	0
118	1	1	3.16	1	256.3	119	97.6	12.91	11.7	0
50	1	0	0.29	1	295.3	127	64.9	6.37	9.6	0
86	1	0	0	1	150.8	85	51	14.8	12.5	0
75	1	0	0	1	111.7	121	40	11.87	13.1	0
94	1	0	0	4	181.8	85	49	10.12	9.2	0
140	1	0	0	3	149.7	71	44	10.63	12.6	0
132	1	0	0	0	222.4	85	52	8.27	11.2	0
139	1	1	2.24	2	231	85	81.4	11.12	8.3	0
98	1	0	0	5	206.5	92	51	8.81	12.4	0
148	1	0	0	1	17.6	121	17	8.09	10.6	0
76	1	0	0	1	263.4	148	65	11.52	11.4	1
77	1	0	0.14	2	230	87	49.4	5.16	11.3	0
122	1	0	0	4	296.4	99	69	10.74	11.4	1
90	1	0	0	2	102	118	27	5.67	11.4	0
83	1	0	0	2	159.3	104	45	10.12	9.5	0
67	1	0	0.42	1	167.8	91	47.2	8.39	8.4	0
120	1	1	3.11	1	177.9	117	77.1	8.76	11.5	0
78	1	1	3.56	0	197.4	73	94.6	14.79	13.2	0
66	1	0	0	0	34	133	30	13.93	11.5	0
209	1	0	0	3	227.2	128	61	12.92	8.9	0
106	1	0	0	0	178.4	143	52	12.35	9.6	0
54	1	1	3.05	2	117.6	82	64.5	7.96	11.3	0
152	1	0	0.23	1	161.4	84	44.3	8.18	11.8	0
